index,sid,form,group,aicc,step,scale,M,V,∆M,∆V,PC1,PC2,PC3
56,68,M + V + ∆M + ∆V,0,235.34891037344397,0.9646757502306924,0.3893671445930037,0.0002209728592524667,1.0,-0.09948281055016532,0.14455661847501233,0.48004020928554236,-0.9022378385777431,-0.2661492714121539
57,69,M + V + ∆M + ∆V,0,260.15711037344397,0.26613729409764303,0.927025495472298,0.0077489171835181956,-0.06669849782932702,0.18938789412645413,-1.0,-0.9486234095298253,-0.23521221472719347,-0.08424820853193907
58,72,M + V + ∆M + ∆V,0,457.10711037344396,0.09849816582362277,0.8107351234810449,0.01199464730872436,-0.041363831102607586,0.4502059598439922,-1.0,-0.9900469337546107,-0.32841947712269914,0.11498231036508183
59,73,M + ∆M + ∆V,0,381.53620991735534,0.0012765609739846988,0.12138334471687914,0.2868752259477805,,-0.3242548263815301,1.0,1.0542094735347387,0.2984300681008406,-0.20506404575380752
60,74,M + ∆M + ∆V,0,370.83680991735537,0.4679577780037861,0.01784764863603968,0.004521327166349364,,-0.03516156969705927,0.010144556950554308,0.06347775687697235,-0.01283487433135556,-0.04757664233081878
61,75,M + ∆M + ∆V,0,523.7494099173554,0.8869103958816112,0.10622369071237166,0.0008423245792199338,,0.023098677959638284,-0.020827836661781063,0.02339788868070607,-0.035476762077803044,-0.006414670132539733
62,77,M + V,0,631.6339016393442,0.9986960969938856,,0.002486999615243102,1.0,,,0.3253526175064894,-0.9609069218161287,-0.22092861080938436
63,78,M + V,0,431.05050163934425,0.06285861745540103,,-0.012323184526388349,-0.022799641740213903,,,0.04078539843088399,-0.003950248335671858,-0.00848508210459146
64,79,M + V + ∆M,0,489.68260991735536,0.005091641160775099,0.00013688265677528862,-0.06188902098220452,-1.0,-0.004827743319241675,,-0.23072765167316747,0.9099324044258675,0.20949421015846661
65,80,M + V + ∆M,0,621.4934099173554,0.4692463743666212,0.4529927289255497,0.001434910051905442,0.009214932620229694,0.003317497937493319,,0.04927463288474303,-0.03415209146190523,-0.019576079518669333
66,81,∆M + ∆V,0,261.83367901234567,0.5549579025755168,0.6162972091737297,,,0.8846894801924419,-1.0,-1.0595716160365003,-0.48381762979410464,0.45717627635831304
67,83,M + V,0,557.4997016393444,0.02095717379117807,,-0.06016052309601561,-0.3031232742033208,,,-0.037863610347917936,0.2562258885039775,0.07301695659182533
68,85,M + ∆M + ∆V,0,314.11840991735534,0.06752881553334211,1.0870135671599e-07,0.007783654510787071,,0.07213065123026538,-0.2735593361262305,-0.22376176296069364,-0.10453436732797954,-0.027850129508094824
69,88,M + V + ∆V,0,425.42060991735536,0.036938859578322235,0.7715266826145343,-0.01033334256284668,-0.3427125703261697,,-1.0,-0.9903888810434298,0.07296102420515488,-0.16941462551999942
70,89,M + V + ∆V,0,414.71000991735536,0.7413309460842232,0.009790799045997122,0.004746888159731471,0.9649168198172716,,0.9324580396233932,1.1942567921939864,-0.720267557062973,-0.00637597618850989
71,90,M + ∆M + ∆V,0,311.4234099173553,0.02959299037164984,0.9376522113631014,0.019614337157068548,,0.2918562792211314,-0.9998644694386756,-0.9488414706553607,-0.3244427684321513,-0.022717001195431772
72,91,M + ∆M + ∆V,0,203.6142099173554,0.9901981890201844,0.8490745193878987,0.015910398060396787,,-0.8343430319027861,1.0,1.1450593679063543,0.4217161592784881,-0.4649585668143584
73,92,V + ∆M + ∆V,0,96.91760991735536,0.09402059486339932,0.1079078907822602,,-1.0,-0.11655604931559205,-0.7798433579194919,-0.9438305827514143,0.7690661723025406,-0.08646851918049853
74,93,M,0,243.57726530612243,0.0006062715863857106,,1.0,,,,0.062300017466527566,0.023299059214687626,-0.5512911066093027
75,94,V + ∆M + ∆V,0,501.9882099173553,0.4407619572085412,0.7872003568345248,,0.20300745688731686,-0.3067078090877909,1.0,1.1030812757304118,0.08989005966981496,-0.07924121075023252
76,95,M + V + ∆M + ∆V,0,463.40531037344397,0.14060772684884715,0.6099865553537193,0.0004229358182849293,-0.21830538758029414,0.2479607418153472,-1.0,-1.0017796152531553,-0.10926182841235944,-0.003643480213283929
77,97,M + ∆M,0,202.2928790123457,0.014553322409599459,0.0,-0.2875726246078602,,0.9294703990039784,,-0.12994895840731152,-0.28686291971440003,0.8693981229744314
78,98,M + V + ∆M + ∆V,0,327.05571037344396,0.5531755487149796,0.1955240330836816,0.004014863076987953,0.2998569381652416,-0.05580482041007637,0.3963195582681768,0.5145531362732461,-0.202094531846364,-0.03718188552448107
79,99,M + ∆M + ∆V,0,624.9964099173553,0.0025516481074339004,0.0,0.5177469694161984,,-0.4989305231381652,-1.0,-0.7943598673057637,-0.08926422574715656,-0.9138656723241116
80,100,M + V + ∆M,0,643.0438099173554,0.2529365213565079,0.8799078734253338,0.00403170047424053,0.011046064967926927,0.1657307047865914,,0.019602426396121947,-0.07913823107154075,0.10730026851950904
81,101,M + V,0,641.6931016393443,0.3025478015794397,,-0.006458924998124146,-0.012347407068405413,,,0.04377910370486155,-0.013455366884834766,-0.013693612260059771
82,102,V,0,494.86886530612253,0.9930299757856283,,,-1.0,,,-0.23069814472599212,0.9116134597764367,0.180411541312542
83,103,M + V,0,477.77590163934417,0.3909378743560736,,0.0035626571688132454,-0.0059468861502646785,,,0.04570872943150726,-0.018967210985886298,-0.02030218593643077
84,104,V + ∆M + ∆V,0,275.5744099173553,0.15982205950282954,0.5679828200012278,,-0.05523347344099865,0.6048428474573341,-0.9999811032914928,-1.0228380634452636,-0.3573231225509398,0.2466028963229731
85,108,M + V + ∆M + ∆V,0,518.3863103734442,0.0238869335735153,0.4478488213843214,0.019303178307288345,-0.4663210062007489,0.06651795146669037,-1.0,-1.0366855517710956,0.17234739866552123,-0.10777043615544847
86,109,V + ∆M + ∆V,0,288.83820991735536,0.005909367243543965,0.3752156448413741,,-1.0,-0.2226318739227476,1.0,0.7529930975384591,1.1938250510117476,0.22795501936093154
87,110,M + ∆M + ∆V,0,134.27800991735538,0.4272937186304681,0.011704124920301248,0.032304436462880025,,0.09581917619204587,-0.2008878832962182,-0.15932603135821746,-0.09350097548831121,-0.00585951351490653
88,111,M,0,570.5396653061224,0.4099130883364879,,0.003310680920288329,,,,0.047358226376535556,-0.024547494987854655,-0.021357641990827365
89,112,M + V,0,658.1577016393443,0.07526112719052147,,0.006056461693206899,0.022566784445310253,,,0.053673107697096704,-0.04554541148038741,-0.027331114491837092
90,113,M + V + ∆V,0,588.4768099173554,0.9978519378277464,0.1482564251418164,0.003228394005403944,0.9720975601141376,,0.01496088674799267,0.3317038030373887,-0.9314135566869001,-0.2123929696878421
91,114,M + V + ∆V,0,371.99200991735535,0.01620844815361266,3.800892595307442e-09,-0.04040395043848339,-1.0,,1.0,0.7109623024713352,1.1323989360236895,0.4257510632025988
92,115,M + ∆M + ∆V,0,616.1150099173552,0.4840195382724283,0.15237502663297198,-0.2255940309579321,,-0.4077370242233807,0.999880303062888,1.0619475649488332,0.2961082417591474,0.0012720483609368156
93,116,M + ∆M + ∆V,0,632.1564099173553,0.040769508431689166,0.8131817089931879,0.018317468437936163,,-0.2846810497947247,0.06115651069991461,0.1581794739997839,0.06585984158215279,-0.24109976248824755
94,117,M + V + ∆V,0,472.86560991735536,0.2711935535975142,0.008543207279929833,0.003956083322207398,-0.9792093203726676,,-0.9905900507814284,-1.1582583715475487,0.6717073909819496,-0.04760071637621927
95,118,V + ∆V,0,197.7504790123457,0.7058702476795559,0.008399855402706437,,-0.9875499912787096,,-1.0,-1.1695031183028155,0.6772311815488782,-0.045935566080510894
96,119,M + V + ∆V,0,533.4564099173554,0.7581441794990946,0.9876911534119904,0.000705632141571912,0.028958660345066174,,-1.0,-0.8868962841803112,-0.27451220864551495,-0.24962153877378712
97,123,V + ∆M + ∆V,0,647.6540099173553,0.9823315243986052,8.158071850510586e-05,,0.9999999813554664,0.9999999922335177,1.0,1.0815116266572107,-1.005497912157757,0.7962016200946774
98,124,M + ∆M + ∆V,0,316.6856099173553,0.013939696312148515,0.6888917486348229,0.22265663912243064,,-0.564771458017865,-1.0,-0.786532677487057,-0.08583769915109474,-0.8091107817880759
99,125,V,0,311.03426530612245,0.0021206976272191693,,,-1.0,,,-0.23069814472599212,0.9116134597764367,0.180411541312542
100,126,V,0,456.5738653061225,0.0012167259405907298,,,-1.0,,,-0.23069814472599212,0.9116134597764367,0.180411541312542
