sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,group,k,aicc,delta_aicc,akw,er,drank
0,mean + delta_var,703.1472,1000.0,0.9701106352559068,0.0033481526962863915,-0.0016697642430095294,,,-1.0,0,6,703.4928790123457,502.07066909499036,9.478496265001227e-110,1.0550196698314262e+109,12
0,var + delta_mean,703.1472,962.5952966617124,0.9735075063757778,0.9979758962511238,,0.9116062334393148,0.917822934649715,,0,6,703.4928790123457,502.07066909499036,9.478496265001227e-110,1.0550196698314262e+109,12
0,mean + var + delta_mean + delta_var,707.1472,1000.0,0.32912158312602985,0.0065670715049714725,-0.001972895425273245,-1.0,-0.04895118964622976,-0.9458792087201696,0,8,707.744710373444,506.3225004560887,1.1310088265469839e-110,8.841663977575142e+109,14
1,mean + delta_mean,606.279,971.0896109258496,0.25314442876563753,0.07238136845793842,-0.0019457871900582266,,0.01173400742639975,,0,6,606.6246790123457,0.0,0.742416305914631,1.0,0
1,mean + delta_mean + delta_var,608.279,839.2331054144894,0.0041753746911544,0.0,-0.9391541066324705,,1.0,-0.4801919816770034,0,7,608.7418099173553,2.117130905009617,0.2575836939934589,2.882233321545129,1
1,var + delta_mean + delta_var,651.7866,664.5497291780761,0.9740070588882574,0.9852991328831068,,0.969613313077686,-0.9608986218306258,-0.9451810447757072,0,7,652.2494099173554,45.62473090500964,9.191006360985159e-11,8077638908.684789,2
1,var + delta_mean,696.1,825.175668547178,0.9313924027734372,0.986076011016128,,0.17838519748424975,-1.0,,0,6,696.4456790123457,89.82100000000003,2.32415545041421e-20,3.194348750563642e+19,3
1,var + delta_var,697.7816,35.36092526128662,0.6710689930249412,0.029399284877528083,,0.2758417910423658,,0.6078780327263827,0,6,698.1272790123458,91.50260000000003,1.0025599971263963e-20,7.405205753696474e+19,4
1,mean + var,701.145,783.3903014244098,1.0,,0.0017889012864733816,-0.006125548256632357,,,0,5,701.3909016393443,94.76622262699857,1.9607567691080482e-21,3.7863763502515284e+20,5
1,mean,701.9198,958.0263294696924,1.0656610658702327e-05,,-0.9999967271870012,,,,0,4,702.0830653061224,95.4583862937767,1.3871463787884584e-21,5.352112201475534e+20,6
1,var,701.9198,765.5275573888091,0.8744712363338291,,,-0.013003514505863898,,,0,4,702.0830653061224,95.4583862937767,1.3871463787884584e-21,5.352112201475534e+20,6
1,delta_mean,703.9198,707.9388573607947,0.8333655951061265,0.9972122338487444,,,-0.7298178914027923,,0,5,704.1657016393443,97.5410226269986,4.896475195498083e-22,1.5162260121264852e+21,8
1,delta_var,703.9198,57.02247092101446,0.7226640483302167,0.04361977677396715,,,,0.22146925161593653,0,5,704.1657016393443,97.5410226269986,4.896475195498083e-22,1.5162260121264852e+21,8
1,mean + var + delta_var,705.1374,999.9999999999201,0.9990311109070008,0.002020720257925423,0.0031166562375379283,0.4796979568919079,,1.0,0,7,705.6002099173553,98.97553090500958,2.389923744574749e-22,3.10644349050866e+21,10
1,delta_mean + delta_var,705.9198,949.6006504754802,1.0,0.6715926524899349,,,-0.06317409191715992,0.08686838533263544,0,6,706.2654790123457,99.64080000000001,1.7136522505034992e-22,4.3323626814979346e+21,11
