sid,group,activity,item,rating,rating_norm
8,0,A4,time,8,1.3928571428571432
9,0,A1,comp,1,-4.428571428571429
9,0,A2,comp,1,-4.428571428571429
9,0,A3,comp,10,4.571428571428571
9,0,A4,comp,10,4.571428571428571
9,0,A1,lrn1,9,3.571428571428571
9,0,A2,lrn1,3,-2.428571428571429
9,0,A3,lrn1,1,-4.428571428571429
9,0,A4,lrn1,1,-4.428571428571429
9,0,A1,lrn2,10,4.571428571428571
9,0,A2,lrn2,10,4.571428571428571
9,0,A3,lrn2,3,-2.428571428571429
9,0,A4,lrn2,3,-2.428571428571429
9,0,A1,int,1,-4.428571428571429
9,0,A2,int,1,-4.428571428571429
9,0,A3,int,10,4.571428571428571
9,0,A4,int,10,4.571428571428571
9,0,A1,prog,10,4.571428571428571
9,0,A2,prog,10,4.571428571428571
9,0,A3,prog,1,-4.428571428571429
9,0,A4,prog,1,-4.428571428571429
9,0,A1,rule,10,4.571428571428571
9,0,A2,rule,10,4.571428571428571
9,0,A3,rule,1,-4.428571428571429
9,0,A4,rule,1,-4.428571428571429
9,0,A1,time,2,-3.428571428571429
9,0,A2,time,2,-3.428571428571429
9,0,A3,time,10,4.571428571428571
9,0,A4,time,10,4.571428571428571
10,0,A1,comp,1,-4.5
10,0,A2,comp,10,4.5
10,0,A3,comp,10,4.5
10,0,A4,comp,10,4.5
10,0,A1,lrn1,1,-4.5
10,0,A2,lrn1,6,0.5
10,0,A3,lrn1,6,0.5
10,0,A4,lrn1,9,3.5
10,0,A1,lrn2,10,4.5
10,0,A2,lrn2,10,4.5
10,0,A3,lrn2,10,4.5
10,0,A4,lrn2,1,-4.5
10,0,A1,int,10,4.5
10,0,A2,int,1,-4.5
10,0,A3,int,1,-4.5
10,0,A4,int,1,-4.5
10,0,A1,prog,10,4.5
10,0,A2,prog,1,-4.5
10,0,A3,prog,1,-4.5
10,0,A4,prog,1,-4.5
10,0,A1,rule,10,4.5
10,0,A2,rule,10,4.5
10,0,A3,rule,10,4.5
10,0,A4,rule,1,-4.5
10,0,A1,time,10,4.5
10,0,A2,time,1,-4.5
10,0,A3,time,1,-4.5
10,0,A4,time,1,-4.5
11,0,A1,comp,1,-6.928571428571429
11,0,A2,comp,8,0.07142857142857117
11,0,A3,comp,10,2.071428571428571
11,0,A4,comp,10,2.071428571428571
11,0,A1,lrn1,10,2.071428571428571
11,0,A2,lrn1,10,2.071428571428571
11,0,A3,lrn1,10,2.071428571428571
11,0,A4,lrn1,10,2.071428571428571
11,0,A1,lrn2,1,-6.928571428571429
11,0,A2,lrn2,8,0.07142857142857117
11,0,A3,lrn2,9,1.0714285714285712
11,0,A4,lrn2,10,2.071428571428571
11,0,A1,int,10,2.071428571428571
11,0,A2,int,9,1.0714285714285712
11,0,A3,int,7,-0.9285714285714288
11,0,A4,int,7,-0.9285714285714288
11,0,A1,prog,10,2.071428571428571
11,0,A2,prog,9,1.0714285714285712
11,0,A3,prog,5,-2.928571428571429
11,0,A4,prog,5,-2.928571428571429
11,0,A1,rule,10,2.071428571428571
11,0,A2,rule,10,2.071428571428571
11,0,A3,rule,3,-4.928571428571429
11,0,A4,rule,6,-1.9285714285714288
11,0,A1,time,7,-0.9285714285714288
11,0,A2,time,9,1.0714285714285712
11,0,A3,time,9,1.0714285714285712
11,0,A4,time,9,1.0714285714285712
12,0,A1,comp,3,-2.928571428571429
12,0,A2,comp,2,-3.928571428571429
12,0,A3,comp,7,1.0714285714285712
12,0,A4,comp,10,4.071428571428571
12,0,A1,lrn1,3,-2.928571428571429
12,0,A2,lrn1,2,-3.928571428571429
12,0,A3,lrn1,7,1.0714285714285712
12,0,A4,lrn1,9,3.071428571428571
12,0,A1,lrn2,2,-3.928571428571429
12,0,A2,lrn2,1,-4.928571428571429
12,0,A3,lrn2,7,1.0714285714285712
12,0,A4,lrn2,5,-0.9285714285714288
12,0,A1,int,6,0.07142857142857117
12,0,A2,int,8,2.071428571428571
12,0,A3,int,9,3.071428571428571
12,0,A4,int,5,-0.9285714285714288
12,0,A1,prog,9,3.071428571428571
12,0,A2,prog,10,4.071428571428571
12,0,A3,prog,9,3.071428571428571
12,0,A4,prog,4,-1.9285714285714288
12,0,A1,rule,9,3.071428571428571
12,0,A2,rule,10,4.071428571428571
12,0,A3,rule,9,3.071428571428571
12,0,A4,rule,3,-2.928571428571429
12,0,A1,time,2,-3.928571428571429
12,0,A2,time,2,-3.928571428571429
12,0,A3,time,3,-2.928571428571429
12,0,A4,time,10,4.071428571428571
13,0,A1,comp,2,-4.607142857142857
13,0,A2,comp,10,3.3928571428571432
13,0,A3,comp,6,-0.6071428571428568
13,0,A4,comp,8,1.3928571428571432
13,0,A1,lrn1,4,-2.6071428571428568
13,0,A2,lrn1,9,2.3928571428571432
13,0,A3,lrn1,4,-2.6071428571428568
13,0,A4,lrn1,9,2.3928571428571432
13,0,A1,lrn2,1,-5.607142857142857
13,0,A2,lrn2,8,1.3928571428571432
13,0,A3,lrn2,10,3.3928571428571432
13,0,A4,lrn2,3,-3.6071428571428568
13,0,A1,int,9,2.3928571428571432
13,0,A2,int,5,-1.6071428571428568
13,0,A3,int,8,1.3928571428571432
13,0,A4,int,5,-1.6071428571428568
13,0,A1,prog,10,3.3928571428571432
13,0,A2,prog,2,-4.607142857142857
13,0,A3,prog,8,1.3928571428571432
13,0,A4,prog,7,0.39285714285714324
13,0,A1,rule,10,3.3928571428571432
13,0,A2,rule,2,-4.607142857142857
13,0,A3,rule,9,2.3928571428571432
13,0,A4,rule,3,-3.6071428571428568
