index,sid,form,group,aicc,step,scale,comp,unc,∆comp,∆unc,PC1,PC2
7,7,comp + unc + ∆comp + ∆unc,0,344.619910373444,0.6195669733265025,0.4930519415414446,0.0024601532730604307,-0.0164231183430223,0.02425539810948274,0.08774180780443139,0.1469736225981389,0.040543033022955956
8,8,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.22904509811464194,0.7187816372923114,-0.018559181572933955,-0.05968091202459608,-0.2859374025509814,0.9739125359415384,1.0758013357394636,-0.07602990735807225
9,9,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.27519942899849104,0.2761257273552404,0.004018219011901313,-0.03853308818153811,0.0653018483892228,-0.1412345846837001,-0.08624873190233984,0.03136244694845722
10,11,comp + unc + ∆comp + ∆unc,0,662.6535103734442,0.4909683822795442,0.6964233659135611,0.003518032421033409,0.0333053065278925,-0.039106500102497006,0.11747947648002788,0.19376297054191935,0.0746864526831522
11,12,comp + unc + ∆comp + ∆unc,0,727.1529103734441,0.09581826950179267,0.9465818859202768,-0.013847738600153842,-0.02606571486356464,0.7693292246229373,-1.0,-1.081311575789556,0.20553106534013782
12,13,comp + unc + ∆comp + ∆unc,0,757.6513103734441,1.3601890380962531e-05,0.7200982414903613,-0.5298228137712491,0.055754201969425016,-0.3650565224295729,-0.34021011003024243,-0.17490706279964333,0.13479065345204694
13,14,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.14131895054865384,0.6677544284536506,0.03791899163070188,-0.12178835446517312,0.2945046237776951,-0.9984765062499718,-0.9767686863481625,0.006865795353809714
14,16,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.0443007381815902,0.10614100717131864,0.046775234211508726,-0.6618855840240526,0.0996008853193161,-1.0,-0.9694297946629954,-0.5539283762761414
15,17,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.182444261304248,0.7947361298294432,0.004228063481006698,0.088407673589396,-0.11711932944435978,0.4825062175650847,0.5697880080806381,0.10525740367025235
16,18,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.8658837120375418,0.8126394099890486,0.005964067119481956,-0.3069950932527197,-0.3326661628371547,1.0,1.0954065745134114,-0.32831880834080784
17,20,comp + unc + ∆comp + ∆unc,0,689.555910373444,0.4465482761959927,0.8263187999937647,0.024282714609782426,0.04629876883106357,0.0598645507691476,0.33045260755128425,0.37862678083340906,0.09995560003701433
18,21,comp + unc + ∆comp + ∆unc,0,203.602910373444,0.13863162524419714,0.10599000109185218,0.1908651833159106,0.11715693313995106,0.7312387252208119,-0.9999999532361324,-1.0626141830216411,0.29810978320287973
19,22,comp + unc + ∆comp + ∆unc,0,674.826710373444,0.1889726850507436,0.09458834143599064,0.031353230426639934,-0.764766951084473,0.03392690756365354,-0.9997956038039156,-0.9610055423468586,-0.6634810736254864
20,25,comp + unc + ∆comp + ∆unc,0,710.431310373444,0.7350304967173629,0.2253219277583829,-0.04571125422588977,0.6913159657248992,-0.5382184661739737,0.9081758133083916,1.1202317658029899,0.6005553586296835
21,26,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.5801635526604821,0.9662903695292354,0.00014471866693166146,0.007952814089273558,0.13775562760565788,-1.0,-0.9335373752436953,0.1064612737901804
22,27,comp + unc + ∆comp + ∆unc,0,702.553510373444,1.0,0.9909580155986056,0.006453476210511888,0.03649824557962608,-0.4827354787329348,0.33374411237844603,0.5061191998455189,-0.017295282334772243
23,30,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.1192410079385605,0.5352297984422429,0.18776251924547896,-0.9290550971155472,0.9632411461894492,1.0,0.7556516845519315,-0.6944584563628511
24,32,comp + unc + ∆comp + ∆unc,0,265.86751037344396,0.9860201809481356,0.7872090707398784,0.0067708709489453615,1.0,0.1836198697120429,-0.3239236627557146,-0.22145498007253514,1.0568245547542283
25,33,comp + unc + ∆comp + ∆unc,0,698.5181103734441,1.0,0.9975236078337559,0.0029348338494651987,0.056605563494635885,0.09432762353613736,0.9151985950853758,0.9390186131787656,0.11068695829290259
26,34,comp + unc + ∆comp + ∆unc,0,537.457110373444,0.2583431638083294,0.20577031565159729,0.011408629654247968,0.02885058420349086,-0.02387320623905914,0.010321933752290421,0.08594027430483937,0.0739360403130895
27,35,comp + unc + ∆comp + ∆unc,0,428.819310373444,0.6584665806269611,0.016898816737287988,-0.003699795262570968,-0.9976323691751748,-0.05198176073330469,-0.9075771501983466,-0.8673120294714186,-0.9001712546681838
28,37,comp + unc + ∆comp + ∆unc,0,609.2807103734441,0.5031562376006505,0.992230517699442,0.0013544025115932953,0.00702835965151075,0.9996424842571522,-0.6456242667322758,-0.7880922757618195,0.27556830124041787
29,39,comp + unc + ∆comp + ∆unc,0,376.763510373444,0.9942543985008984,0.25723333543957616,-0.018317590783400645,-1.0,0.006192232815567354,0.03192439577340056,0.03118363493123187,-0.9041454526739131
30,41,comp + unc + ∆comp + ∆unc,0,703.250710373444,0.8148252150418905,0.9459135433601628,0.006230950330721904,-0.18146153734605927,0.2164206794935768,1.0,0.9773189001943831,-0.09531206137834658
31,42,comp + unc + ∆comp + ∆unc,0,713.2899103734441,0.09401775927648263,0.7940709627053797,0.03057333235939985,0.019475497717772117,0.508552101935405,-1.0,-1.0181242903447616,0.18785973818712812
32,43,comp + unc + ∆comp + ∆unc,0,703.3631103734441,0.3629419868140205,0.4249269608546949,0.01826705812591035,0.04678740026575196,0.0443758275227804,0.0336203682275537,0.09404859525323955,0.10349313808825017
33,45,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.3482771188899708,0.9224858617645308,-0.04567082447147297,-0.06134627697111957,-0.3078676897787012,0.9999952420680659,1.1060161380368738,-0.0776245772668912
34,46,comp + unc + ∆comp + ∆unc,0,385.564710373444,0.20080165263298588,0.8480946792838036,0.029711631055097627,0.01959921867879581,0.475236081750269,-1.0,-1.01044348737815,0.18131902337164052
35,47,comp + unc + ∆comp + ∆unc,0,701.547710373444,0.22621972168184665,0.0467052845249489,0.4504244812707594,0.9943593743224192,-0.5925031374057235,-0.12506015789704245,0.15076411925501038,0.8082261270257816
36,48,comp + unc + ∆comp + ∆unc,0,298.57311037344397,0.4147761224961274,0.3321420004392229,0.020301700356562247,-0.10845306254144628,-0.04368951365577276,-0.04530434254388898,0.02734227200617383,-0.06280068808309734
37,49,comp + unc + ∆comp + ∆unc,0,625.065910373444,0.2732432666870656,0.1604448797750144,0.007422709171902004,-0.04896490597190253,0.026499020658972715,-0.1585577165960631,-0.09481960304596868,0.013071230170386515
38,50,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.2660411342954041,0.0375272279733312,0.08787967884228266,-0.2438195100932788,0.4288716272332633,-0.9844293271470492,-1.0021501665658852,-0.09233559953911119
39,51,comp + unc + ∆comp + ∆unc,0,180.807710373444,0.307772197998376,0.10687481448562013,-0.015432595138739059,-0.1568172791753629,-0.2711202166496873,0.999949165212802,1.0911793361739892,-0.16741983118463058
40,52,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.3035409248632306,0.9640780689203176,0.00014541934312961656,-0.013532157211217113,0.5093416656809014,-0.9984307522231765,-1.0190408682084908,0.16180630816780392
41,53,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.3454171604340063,0.7166245760695465,0.008361545544480287,0.035968166686173496,0.14354152604681672,0.049668741265023186,0.08604662857221836,0.11490951127066844
42,54,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.13327391855928247,0.009821714438182244,-0.0355183160354072,-0.9993069775011534,-0.4488796154608075,0.08745987993985972,0.1899361504572633,-0.9944162745036477
