sid,group,activity,n,nfree,alloc,ipc15,fpc15,pcall,fscore,maxscore,speed,hirun
49,0,A2,66,51,0.204,0.8,0.9333333333333333,0.8333333333333334,44,45,0.6923076923076923,16
49,0,A3,75,60,0.24,0.26666666666666666,0.7333333333333333,0.5866666666666667,13,13,0.17333333333333334,5
49,0,A4,69,54,0.216,0.4666666666666667,0.4666666666666667,0.4782608695652174,0,2,0.2,5
50,0,A1,144,129,0.516,0.8666666666666667,1.0,0.9097222222222222,118,118,0.8194444444444444,30
50,0,A2,66,51,0.204,0.5333333333333333,0.8,0.6818181818181818,24,25,0.38461538461538464,21
50,0,A3,33,18,0.072,0.4666666666666667,0.2,0.36363636363636365,0,2,1.0,3
50,0,A4,67,52,0.208,0.4,0.6666666666666666,0.4925373134328358,0,3,0.1111111111111111,5
51,0,A1,15,0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0,0,0.0,2
51,0,A2,234,219,0.876,0.6666666666666666,1.0,0.905982905982906,190,190,0.811965811965812,25
51,0,A3,28,13,0.052,0.3333333333333333,0.6666666666666666,0.5,0,2,0.3333333333333333,5
51,0,A4,33,18,0.072,0.6,0.7333333333333333,0.696969696969697,13,14,0.4666666666666667,6
52,0,A1,154,139,0.556,0.7333333333333333,0.9333333333333333,0.9090909090909091,126,126,0.8181818181818182,34
52,0,A2,49,34,0.136,0.06666666666666667,0.4666666666666667,0.42857142857142855,0,0,0.0,8
52,0,A3,58,43,0.172,0.2,0.5333333333333333,0.41379310344827586,0,0,0.0,4
52,0,A4,49,34,0.136,0.5333333333333333,0.5333333333333333,0.5306122448979592,3,6,0.2727272727272727,6
53,0,A1,15,0,0.0,0.6,0.6,0.6,3,4,1.0,4
53,0,A2,15,0,0.0,0.8,0.8,0.8,9,9,0.6,8
53,0,A3,182,167,0.668,0.4,0.6,0.5769230769230769,28,28,0.1590909090909091,10
53,0,A4,98,83,0.332,0.4666666666666667,0.26666666666666666,0.47959183673469385,0,7,0.09859154929577464,7
54,0,A1,217,202,0.808,0.6666666666666666,1.0,0.9631336405529954,201,201,0.9262672811059908,94
54,0,A2,43,28,0.112,0.6666666666666666,0.6666666666666666,0.627906976744186,11,11,0.4782608695652174,5
54,0,A3,15,0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5,6,0.42857142857142855,4
54,0,A4,35,20,0.08,0.6,0.26666666666666666,0.4857142857142857,0,6,0.3,4
55,0,A1,25,10,0.04,0.8666666666666667,0.8,0.84,17,18,0.75,10
55,0,A2,41,26,0.104,0.5333333333333333,0.9333333333333333,0.7804878048780488,23,23,0.5609756097560976,12
55,0,A3,143,128,0.512,0.5333333333333333,0.4,0.6153846153846154,33,36,0.2903225806451613,8
55,0,A4,101,86,0.344,0.6,0.5333333333333333,0.5247524752475248,5,6,0.06818181818181818,5
56,0,A1,24,9,0.036,0.8,0.4666666666666667,0.6666666666666666,8,11,1.0,11
56,0,A2,207,192,0.768,0.8666666666666667,1.0,0.9130434782608695,171,171,0.8260869565217391,35
56,0,A3,39,24,0.096,0.6,0.8666666666666667,0.717948717948718,17,17,0.4358974358974359,8
56,0,A4,40,25,0.1,0.6,0.26666666666666666,0.45,0,5,0.2631578947368421,3
57,0,A1,48,33,0.132,0.7333333333333333,0.6666666666666666,0.7291666666666666,22,23,0.48936170212765956,11
57,0,A2,44,29,0.116,0.8666666666666667,0.9333333333333333,0.8181818181818182,28,28,0.6363636363636364,10
57,0,A3,113,98,0.392,0.6,0.6,0.5486725663716814,11,14,0.1346153846153846,11
57,0,A4,105,90,0.36,0.6666666666666666,0.3333333333333333,0.5428571428571428,9,15,0.17647058823529413,6
58,0,A1,55,40,0.16,0.6,1.0,0.6727272727272727,19,19,0.34545454545454546,16
58,0,A2,45,30,0.12,0.4666666666666667,0.9333333333333333,0.7111111111111111,19,20,0.45454545454545453,16
58,0,A3,100,85,0.34,0.4,0.5333333333333333,0.47,0,2,0.5,4
58,0,A4,110,95,0.38,0.4,0.4,0.43636363636363634,0,0,0.0,3
59,0,A1,126,111,0.444,0.8,1.0,0.9126984126984127,104,104,0.8253968253968254,37
59,0,A2,53,38,0.152,0.3333333333333333,0.4,0.39622641509433965,0,0,0.0,4
59,0,A3,71,56,0.224,0.6,0.6,0.647887323943662,21,22,0.3142857142857143,9
59,0,A4,60,45,0.18,0.2,0.4666666666666667,0.5,0,2,0.034482758620689655,5
60,0,A1,15,0,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,11,11,0.7333333333333333,8
60,0,A2,239,224,0.896,1.0,0.9333333333333333,0.9790794979079498,229,229,0.9581589958158996,83
60,0,A3,41,26,0.104,0.7333333333333333,0.7333333333333333,0.7317073170731707,19,19,0.5135135135135135,10
60,0,A4,15,0,0.0,0.4,0.4,0.4,0,2,0.3333333333333333,3
61,0,A1,115,100,0.4,0.8,0.9333333333333333,0.8869565217391304,89,89,0.7739130434782608,31
61,0,A2,65,50,0.2,0.7333333333333333,0.8666666666666667,0.7692307692307693,35,35,0.5384615384615384,17
61,0,A3,65,50,0.2,0.4666666666666667,0.4666666666666667,0.5538461538461539,7,10,0.16129032258064516,5
61,0,A4,65,50,0.2,0.5333333333333333,0.4,0.5538461538461539,7,11,0.24444444444444444,6
62,0,A1,66,51,0.204,0.9333333333333333,0.9333333333333333,0.9242424242424242,56,56,0.8484848484848485,17
62,0,A2,49,34,0.136,0.7333333333333333,1.0,0.8775510204081632,37,37,0.7551020408163265,28
62,0,A3,116,101,0.404,0.5333333333333333,0.9333333333333333,0.7586206896551724,60,60,0.5172413793103449,14
62,0,A4,79,64,0.256,0.4666666666666667,0.4666666666666667,0.4810126582278481,0,3,0.15789473684210525,4
63,0,A1,97,82,0.328,0.6666666666666666,0.8,0.6804123711340206,35,35,0.36082474226804123,7
63,0,A2,68,53,0.212,0.3333333333333333,0.4666666666666667,0.5735294117647058,10,12,0.23076923076923078,5
63,0,A3,98,83,0.332,0.6,0.6,0.5918367346938775,18,20,0.20833333333333334,9
63,0,A4,47,32,0.128,0.26666666666666666,0.06666666666666667,0.3191489361702128,0,0,0.0,3
64,0,A1,165,150,0.6,0.9333333333333333,1.0,0.896969696969697,131,131,0.793939393939394,48
64,0,A2,69,54,0.216,0.6666666666666666,0.6666666666666666,0.6956521739130435,27,30,0.46875,9
64,0,A3,36,21,0.084,0.5333333333333333,0.7333333333333333,0.6111111111111112,8,8,0.2222222222222222,6
64,0,A4,40,25,0.1,0.4666666666666667,0.4666666666666667,0.475,0,2,0.3333333333333333,4
65,0,A1,49,34,0.136,0.6666666666666666,1.0,0.8571428571428571,35,35,0.7142857142857143,26
65,0,A2,58,43,0.172,0.3333333333333333,1.0,0.7241379310344828,26,26,0.4482758620689655,18
65,0,A3,105,90,0.36,0.4666666666666667,0.7333333333333333,0.6095238095238096,23,23,0.23232323232323232,6
65,0,A4,98,83,0.332,0.4666666666666667,0.6,0.4489795918367347,0,2,1.0,4
66,0,A1,15,0,0.0,0.8,0.8,0.8,9,10,0.8333333333333334,10
66,0,A2,62,47,0.188,0.4,0.7333333333333333,0.6129032258064516,14,15,0.2542372881355932,6
66,0,A3,80,65,0.26,0.4666666666666667,1.0,0.675,28,28,0.35,17
66,0,A4,153,138,0.552,0.3333333333333333,0.6666666666666666,0.5359477124183006,11,11,0.0718954248366013,5
67,0,A1,113,98,0.392,0.8666666666666667,0.9333333333333333,0.9469026548672567,101,101,0.8938053097345132,34
67,0,A2,76,61,0.244,0.7333333333333333,0.8666666666666667,0.8421052631578947,52,52,0.6842105263157895,10
67,0,A3,71,56,0.224,0.4666666666666667,0.6666666666666666,0.6619718309859155,23,24,0.34285714285714286,9
67,0,A4,50,35,0.14,0.4,0.2,0.42,0,3,0.09090909090909091,6
68,0,A1,40,25,0.1,0.8,0.9333333333333333,0.85,28,28,0.7,13
68,0,A2,26,11,0.044,0.7333333333333333,1.0,0.8461538461538461,18,18,0.6923076923076923,20
68,0,A3,34,19,0.076,0.6,0.8666666666666667,0.7647058823529411,18,18,0.5625,10
68,0,A4,210,195,0.78,0.5333333333333333,0.26666666666666666,0.48095238095238096,0,6,0.1875,8
69,0,A1,182,167,0.668,0.8666666666666667,0.9333333333333333,0.8626373626373627,132,132,0.7252747252747253,25
69,0,A2,33,18,0.072,0.5333333333333333,0.5333333333333333,0.5454545454545454,3,4,0.16666666666666666,3
69,0,A3,47,32,0.128,0.3333333333333333,0.6666666666666666,0.5957446808510638,9,11,0.2682926829268293,8
69,0,A4,48,33,0.132,0.5333333333333333,0.5333333333333333,0.5,0,6,1.0,6
72,0,A1,176,161,0.644,0.6,0.7333333333333333,0.7954545454545454,104,106,0.6091954022988506,18
72,0,A2,59,44,0.176,0.6,0.7333333333333333,0.7457627118644068,29,29,0.5087719298245614,8
72,0,A3,31,16,0.064,0.8,0.7333333333333333,0.7419354838709677,15,15,0.5172413793103449,7
72,0,A4,44,29,0.116,0.4666666666666667,0.3333333333333333,0.4772727272727273,0,5,0.16129032258064516,4
73,0,A1,177,162,0.648,0.8666666666666667,1.0,0.9661016949152542,165,165,0.9322033898305084,72
73,0,A2,95,80,0.32,0.3333333333333333,1.0,0.7894736842105263,55,55,0.5789473684210527,22
73,0,A3,19,4,0.016,0.5333333333333333,0.4,0.42105263157894735,0,3,0.23076923076923078,2
73,0,A4,19,4,0.016,0.4,0.3333333333333333,0.3684210526315789,0,1,0.3333333333333333,2
74,0,A1,58,43,0.172,0.8666666666666667,0.9333333333333333,0.9137931034482759,48,48,0.8275862068965517,25
74,0,A2,167,152,0.608,0.8,1.0,0.9520958083832335,151,151,0.9041916167664671,57
74,0,A3,27,12,0.048,0.6666666666666666,0.6666666666666666,0.6296296296296297,7,8,0.4444444444444444,10
74,0,A4,58,43,0.172,0.6,0.26666666666666666,0.5172413793103449,2,11,0.2972972972972973,6
75,0,A1,50,35,0.14,0.6666666666666666,0.9333333333333333,0.76,26,26,0.52,11
75,0,A2,67,52,0.208,0.6666666666666666,0.8666666666666667,0.7910447761194029,39,39,0.582089552238806,20
75,0,A3,57,42,0.168,0.9333333333333333,0.8,0.7894736842105263,33,33,0.5789473684210527,11
75,0,A4,136,121,0.484,0.8,0.6666666666666666,0.5073529411764706,2,11,0.5789473684210527,7
77,0,A1,103,88,0.352,0.4666666666666667,0.6,0.6504854368932039,31,31,0.30097087378640774,8
77,0,A2,90,75,0.3,0.5333333333333333,0.9333333333333333,0.7444444444444445,44,44,0.4888888888888889,33
77,0,A3,81,66,0.264,0.4,0.5333333333333333,0.5432098765432098,7,11,0.14666666666666667,10
77,0,A4,36,21,0.084,0.8,0.5333333333333333,0.6388888888888888,10,12,0.5,6
78,0,A1,34,19,0.076,0.7333333333333333,0.9333333333333333,0.8235294117647058,22,22,0.6470588235294118,14
78,0,A2,36,21,0.084,0.6666666666666666,0.9333333333333333,0.8333333333333334,24,24,0.6666666666666666,13
78,0,A3,47,32,0.128,0.8666666666666667,0.9333333333333333,0.8936170212765957,37,37,0.7872340425531915,19
78,0,A4,193,178,0.712,0.2,0.5333333333333333,0.40932642487046633,0,0,0.0,5
79,0,A1,165,150,0.6,0.8,0.8,0.896969696969697,131,133,0.8159509202453987,58
79,0,A2,61,46,0.184,0.4,0.6,0.5245901639344263,3,8,0.14285714285714285,11
79,0,A3,27,12,0.048,0.8,0.8,0.7777777777777778,15,15,0.5555555555555556,5
79,0,A4,57,42,0.168,0.6,0.4,0.5087719298245614,1,9,0.42857142857142855,7
80,0,A1,69,54,0.216,0.7333333333333333,0.8,0.8115942028985508,43,44,0.6470588235294118,9
80,0,A2,73,58,0.232,0.26666666666666666,0.9333333333333333,0.7671232876712328,39,39,0.5492957746478874,25
80,0,A3,105,90,0.36,0.4666666666666667,0.7333333333333333,0.6571428571428571,33,33,0.3402061855670103,10
80,0,A4,63,48,0.192,0.6666666666666666,0.7333333333333333,0.5555555555555556,7,7,0.3684210526315789,4
81,0,A1,20,5,0.02,0.8666666666666667,0.9333333333333333,0.9,16,16,0.8,13
81,0,A2,19,4,0.016,0.8,0.9333333333333333,0.8421052631578947,13,13,0.6842105263157895,9
81,0,A3,103,88,0.352,0.4,0.6666666666666666,0.6504854368932039,31,31,0.30097087378640774,8
81,0,A4,168,153,0.612,0.2,0.4,0.47619047619047616,0,1,1.0,6
83,0,A1,92,77,0.308,0.5333333333333333,1.0,0.8478260869565217,64,64,0.6956521739130435,35
83,0,A2,75,60,0.24,0.5333333333333333,0.7333333333333333,0.7066666666666667,31,32,0.43243243243243246,12
83,0,A3,61,46,0.184,0.5333333333333333,0.7333333333333333,0.5737704918032787,9,9,0.15254237288135594,7
83,0,A4,82,67,0.268,0.5333333333333333,0.7333333333333333,0.5487804878048781,8,9,0.11392405063291139,8
85,0,A1,15,0,0.0,1.0,1.0,1.0,15,15,1.0,15
85,0,A2,34,19,0.076,0.6,1.0,0.7647058823529411,18,18,0.5294117647058824,17
85,0,A3,144,129,0.516,0.5333333333333333,0.8666666666666667,0.6388888888888888,40,40,0.2777777777777778,9
85,0,A4,117,102,0.408,0.6666666666666666,0.4666666666666667,0.5299145299145299,7,10,0.09615384615384616,6
88,0,A1,106,91,0.364,0.7333333333333333,0.8666666666666667,0.839622641509434,72,72,0.6923076923076923,31
88,0,A2,102,87,0.348,0.4666666666666667,0.5333333333333333,0.38235294117647056,0,3,0.42857142857142855,4
88,0,A3,54,39,0.156,0.5333333333333333,0.3333333333333333,0.46296296296296297,0,2,0.2,7
88,0,A4,48,33,0.132,0.6,0.4666666666666667,0.4791666666666667,0,4,0.4,3
89,0,A1,40,25,0.1,0.8,0.9333333333333333,0.875,30,30,0.75,12
89,0,A2,38,23,0.092,0.6666666666666666,0.9333333333333333,0.8157894736842105,24,24,0.631578947368421,11
89,0,A3,76,61,0.244,0.5333333333333333,0.5333333333333333,0.5921052631578947,14,16,0.2222222222222222,8
89,0,A4,156,141,0.564,0.5333333333333333,0.4666666666666667,0.4935897435897436,0,3,0.15789473684210525,5
90,0,A1,44,29,0.116,0.8,0.8666666666666667,0.8409090909090909,30,30,0.7142857142857143,22
90,0,A2,216,201,0.804,0.6666666666666666,0.8666666666666667,0.9120370370370371,178,179,0.8325581395348837,51
90,0,A3,27,12,0.048,0.5333333333333333,0.6,0.5925925925925926,5,6,0.25,7
90,0,A4,23,8,0.032,0.5333333333333333,0.4,0.43478260869565216,0,2,1.0,3
91,0,A1,15,0,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,1,2,0.14285714285714285,2
91,0,A2,144,129,0.516,0.6,0.8,0.6319444444444444,38,38,0.2638888888888889,12
91,0,A3,64,49,0.196,0.5333333333333333,0.7333333333333333,0.640625,18,19,0.30158730158730157,7
91,0,A4,87,72,0.288,0.4,0.3333333333333333,0.45977011494252873,0,1,1.0,5
92,0,A1,178,163,0.652,0.7333333333333333,0.8666666666666667,0.9325842696629213,154,154,0.8651685393258427,51
92,0,A2,15,0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5,5,0.38461538461538464,4
92,0,A3,102,87,0.348,0.4,0.4666666666666667,0.5784313725490197,16,19,0.2,11
92,0,A4,15,0,0.0,0.4,0.4,0.4,0,3,0.42857142857142855,4
93,0,A1,200,185,0.74,0.5333333333333333,0.8666666666666667,0.785,114,114,0.57,31
93,0,A2,15,0,0.0,0.6,0.6,0.6,3,3,0.2,4
93,0,A3,73,58,0.232,0.6666666666666666,0.5333333333333333,0.5342465753424658,5,8,0.15384615384615385,7
93,0,A4,22,7,0.028,0.4666666666666667,0.4,0.4090909090909091,0,1,1.0,5
94,0,A1,18,3,0.012,0.7333333333333333,0.9333333333333333,0.7777777777777778,10,10,0.5555555555555556,11
94,0,A2,63,48,0.192,0.6666666666666666,1.0,0.6666666666666666,21,21,0.3333333333333333,18
94,0,A3,101,86,0.344,0.4,0.4666666666666667,0.42574257425742573,0,2,1.0,4
94,0,A4,128,113,0.452,0.6,0.4666666666666667,0.5546875,14,16,0.16326530612244897,7
95,0,A1,25,10,0.04,0.3333333333333333,0.6,0.48,0,1,1.0,6
95,0,A2,48,33,0.132,0.6666666666666666,0.8666666666666667,0.6666666666666666,16,16,0.3333333333333333,7
95,0,A3,64,49,0.196,0.5333333333333333,0.6,0.5625,8,9,0.23076923076923078,8
95,0,A4,173,158,0.632,0.6,0.4,0.4508670520231214,0,3,0.6,8
97,0,A1,15,0,0.0,0.8,0.8,0.8,9,9,0.6,12
97,0,A2,209,194,0.776,0.4666666666666667,0.9333333333333333,0.9282296650717703,179,179,0.8564593301435407,40
97,0,A3,34,19,0.076,0.6,0.5333333333333333,0.5882352941176471,6,7,0.25925925925925924,8
97,0,A4,52,37,0.148,0.3333333333333333,0.4,0.38461538461538464,0,0,0.0,3
98,0,A1,16,1,0.004,0.7333333333333333,0.8,0.75,8,8,0.5,4
98,0,A2,74,59,0.236,0.6,0.6,0.5135135135135135,2,7,0.17073170731707318,6
98,0,A3,181,166,0.664,0.5333333333333333,0.5333333333333333,0.5359116022099447,13,16,0.09195402298850575,5
98,0,A4,39,24,0.096,0.2,0.5333333333333333,0.41025641025641024,0,0,0.0,3
99,0,A1,68,53,0.212,0.8,1.0,0.9264705882352942,58,58,0.8529411764705882,29
99,0,A2,64,49,0.196,0.7333333333333333,0.8,0.84375,44,44,0.6875,19
99,0,A3,66,51,0.204,0.8,0.8,0.6515151515151515,20,20,0.30303030303030304,6
99,0,A4,112,97,0.388,0.4666666666666667,0.5333333333333333,0.5357142857142857,8,9,0.08737864077669903,6
100,0,A1,74,59,0.236,0.6666666666666666,0.8666666666666667,0.8513513513513513,52,52,0.7027027027027027,17
100,0,A2,51,36,0.144,0.8,1.0,0.8823529411764706,39,39,0.7647058823529411,18
100,0,A3,144,129,0.516,0.7333333333333333,0.9333333333333333,0.75,72,72,0.5,11
100,0,A4,41,26,0.104,0.5333333333333333,0.3333333333333333,0.43902439024390244,0,4,0.2,5
101,0,A1,56,41,0.164,0.4666666666666667,0.5333333333333333,0.5535714285714286,6,7,0.14893617021276595,4
101,0,A2,64,49,0.196,0.8666666666666667,0.6,0.75,32,32,0.5161290322580645,15
101,0,A3,63,48,0.192,0.4,0.8,0.7301587301587301,29,30,0.4838709677419355,16
101,0,A4,127,112,0.448,0.4666666666666667,0.2,0.5039370078740157,1,13,0.1566265060240964,9
102,0,A1,55,40,0.16,0.6,0.9333333333333333,0.7636363636363637,29,29,0.5272727272727272,20
102,0,A2,143,128,0.512,0.6,0.4666666666666667,0.5244755244755245,7,11,0.14666666666666667,5
102,0,A3,97,82,0.328,0.4,0.5333333333333333,0.5876288659793815,17,17,0.2,11
102,0,A4,15,0,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,1,2,0.16666666666666666,4
103,0,A1,163,148,0.592,0.6,0.8666666666666667,0.901840490797546,131,131,0.8136645962732919,60
103,0,A2,58,43,0.172,0.4,0.6,0.5689655172413793,8,11,0.2,7
103,0,A3,54,39,0.156,0.4,0.6,0.5555555555555556,6,9,0.19148936170212766,6
103,0,A4,35,20,0.08,0.4666666666666667,0.6666666666666666,0.5428571428571428,3,3,0.08571428571428572,5
104,0,A1,25,10,0.04,0.8,0.9333333333333333,0.84,17,17,0.68,11
104,0,A2,29,14,0.056,0.8,1.0,0.896551724137931,23,23,0.7931034482758621,19
104,0,A3,194,179,0.716,0.8666666666666667,0.4,0.5360824742268041,14,24,0.5714285714285714,9
104,0,A4,62,47,0.188,0.4666666666666667,0.5333333333333333,0.43548387096774194,0,2,0.5,4
108,0,A1,150,135,0.54,0.7333333333333333,1.0,0.82,96,96,0.64,17
108,0,A2,69,54,0.216,0.6,0.2,0.463768115942029,0,5,0.1282051282051282,3
108,0,A3,64,49,0.196,0.6,0.5333333333333333,0.59375,12,13,0.22033898305084745,6
108,0,A4,27,12,0.048,0.4,0.3333333333333333,0.4074074074074074,0,1,1.0,3
109,0,A1,181,166,0.664,0.8666666666666667,0.9333333333333333,0.9502762430939227,163,163,0.9005524861878453,47
109,0,A2,32,17,0.068,0.6,0.4666666666666667,0.5625,4,7,0.3684210526315789,6
109,0,A3,65,50,0.2,0.5333333333333333,0.6666666666666666,0.5384615384615384,5,6,0.0967741935483871,6
109,0,A4,32,17,0.068,0.6666666666666666,0.6,0.65625,10,11,0.4074074074074074,6
