sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,group
1,delta_mean,703.9198,707.9388573607947,0.8333655951061265,0.9972122338487444,,,-0.7298178914027923,,0
1,delta_mean + delta_var,705.9198,949.6006504754802,1.0,0.6715926524899349,,,-0.06317409191715992,0.08686838533263544,0
1,delta_var,703.9198,57.02247092101446,0.7226640483302167,0.04361977677396715,,,,0.22146925161593653,0
1,mean,701.9198,958.0263294696924,1.0656610658702327e-05,,-0.9999967271870012,,,,0
1,mean + delta_mean,606.279,971.0896109258496,0.25314442876563753,0.07238136845793842,-0.0019457871900582266,,0.01173400742639975,,0
1,mean + delta_mean + delta_var,608.279,839.2331054144894,0.0041753746911544,0.0,-0.9391541066324705,,1.0,-0.4801919816770034,0
1,mean + delta_var,705.9198,704.927079583683,0.9992834599567076,0.0024458458620850608,0.004429589401877696,,,1.0,0
1,mean + var,701.145,783.3903014244098,1.0,,0.0017889012864733816,-0.006125548256632357,,,0
1,mean + var + delta_mean,707.9198,917.215432749101,0.9995876153015804,9.463490080755412e-05,0.0037901527483709093,-0.9999999941247474,1.0,,0
1,mean + var + delta_mean + delta_var,709.9198,470.1614816062513,0.9994080180068048,0.003148133443350025,0.006807325958140985,-0.9692062268891574,0.003922915675478816,0.926327208604662,0
1,mean + var + delta_var,705.1374,999.9999999999201,0.9990311109070008,0.002020720257925423,0.0031166562375379283,0.4796979568919079,,1.0,0
1,var,701.9198,765.5275573888091,0.8744712363338291,,,-0.013003514505863898,,,0
1,var + delta_mean,696.1,825.175668547178,0.9313924027734372,0.986076011016128,,0.17838519748424975,-1.0,,0
1,var + delta_mean + delta_var,651.7866,664.5497291780761,0.9740070588882574,0.9852991328831068,,0.969613313077686,-0.9608986218306258,-0.9451810447757072,0
1,var + delta_var,697.7816,35.36092526128662,0.6710689930249412,0.029399284877528083,,0.2758417910423658,,0.6078780327263827,0
2,delta_mean,703.9198,83.44561116604373,0.0,1.0,,,-1.0,,0
2,delta_mean + delta_var,705.9198,685.8139368176646,0.9108887246236186,0.9667405171044064,,,0.7396085718925178,-1.0,0
2,delta_var,703.9198,293.6093846096212,0.0,1.0,,,,-1.0,0
2,mean,617.4652,653.9757258798477,0.06979120457210627,,0.004111242043690079,,,,0
2,mean + delta_mean,705.9198,606.9077830481302,0.0017040506317862038,0.0,0.9910409467669626,,-1.0,,0
2,mean + delta_mean + delta_var,265.7898,1000.0,0.0037773636782297,0.0014951618272489404,0.24306744710575456,,-0.08964811691679299,-1.0,0
2,mean + delta_var,705.9198,1000.0,0.03329671553206896,0.9174801689745642,-0.004083717825187615,,,1.0,0
