sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,diff,delta_diff
0,mean + var + delta_mean + diff + delta_diff,269.74879999999996,721.6138128386867,0.018702548496941165,0.0,-0.02136761823161856,-0.33202076101676836,-0.9901771739532746,,0.003627057216903207,0.9242397288791553
0,mean + var + delta_var + diff + delta_diff,380.8348,259.55011031411726,0.015057460719861566,0.8140589498671594,0.024442518496075358,-0.8292604238913398,,-1.0,-0.008364475397529488,-0.7201605995611919
0,mean + delta_mean + delta_var + diff + delta_diff,306.678,1000.0,0.8509116064299643,0.009042914279792197,0.002480399129645639,,0.0759014313543332,-1.0,-0.10547174564229014,0.03061984657236618
0,var + delta_mean + delta_var + diff + delta_diff,198.5676,1000.0,0.9112810874303087,0.0076703212085773975,,1.0,0.06253734776499036,-0.9999996762972397,-0.14531068080288867,0.023311743390683655
0,mean + var + delta_mean + delta_var + diff + delta_diff,434.7666,1000.0,0.8813135836050353,0.008796026814063353,0.0025711865495909978,1.0,0.07080810215749823,-1.0,-0.19070937967397583,0.0370444928324685
1,mean,701.9198,958.0263294696924,1.0656610658702328e-05,,-0.9999967271870013,,,,,
1,var,701.9198,765.527557388809,0.8744712363338291,,,-0.013003514505863898,,,,
1,delta_mean,703.9198,707.9388573607947,0.8333655951061265,0.9972122338487445,,,-0.7298178914027923,,,
1,delta_var,703.9198,57.02247092101446,0.7226640483302167,0.04361977677396715,,,,0.22146925161593653,,
1,diff,490.9024,206.7045436151645,0.6080907968838503,,,,,,0.010674754732883873,
1,delta_diff,703.9198,49.63080090336528,0.9654754538025132,0.9588075687165367,,,,,,1.0
1,mean + var,701.145,783.3903014244097,1.0,,0.0017889012864733816,-0.006125548256632356,,,,
1,mean + delta_mean,606.279,971.0896109258495,0.25314442876563753,0.07238136845793842,-0.0019457871900582266,,0.01173400742639975,,,
1,mean + delta_var,705.9198,704.927079583683,0.9992834599567076,0.002445845862085061,0.004429589401877696,,,1.0,,
1,mean + diff,450.1688,302.5559668287238,0.4010263346709106,,-0.00826780416488672,,,,0.011287120365148083,
1,mean + delta_diff,703.1472,16.6288322607625,1.0,0.6854681033680132,0.11833240584337425,,,,,0.5662438585858246
1,var + delta_mean,696.1,825.175668547178,0.9313924027734373,0.9860760110161281,,0.17838519748424977,-1.0,,,
1,var + delta_var,697.7816,35.36092526128662,0.6710689930249412,0.029399284877528083,,0.2758417910423658,,0.6078780327263827,,
1,var + diff,440.2532,98.81950396303178,0.8044363635902883,,,0.6533037144091921,,,0.11820947788807734,
1,var + delta_diff,569.8918,1000.0,0.8173224305307344,0.9973040829359424,,-0.00892556779865712,,,,1.0
1,delta_mean + delta_var,705.9198,949.6006504754802,1.0,0.6715926524899349,,,-0.06317409191715992,0.08686838533263544,,
1,delta_mean + diff,457.0288,1000.0,0.6525629972861889,0.9961414610536687,,,1.0,,0.00391653305129532,
1,delta_mean + delta_diff,705.9198,849.2323921922526,0.8017427349064096,0.9965773474604848,,,-0.700742987692573,,,1.0
1,delta_var + diff,62739.4578,64.5521959641169,0.8044266014311192,0.0,,,,-0.9999960412396931,0.1809491803156839,
1,delta_var + delta_diff,565.1218,505.52609430274504,0.7996751448445949,0.9897633176999218,,,,-0.7188323811387256,,0.6548494396245657
1,diff + delta_diff,468.013,1000.0,0.7079677230715329,0.9978748795768067,,,,,0.0022209075991176416,1.0
1,mean + var + delta_mean,707.9198,917.215432749101,0.9995876153015804,9.463490080755413e-05,0.0037901527483709093,-0.9999999941247474,1.0,,,
1,mean + var + delta_var,705.1374,999.9999999999201,0.9990311109070008,0.002020720257925423,0.0031166562375379283,0.4796979568919079,,1.0,,
1,mean + var + diff,439.416,137.43173008554916,0.7103981587191868,,-0.00439621601901146,0.17179450358488838,,,0.05000966758524513,
